|                rho |                    EW |                sigEW |                 col |             sigcol |    cluster |                zgal |  N_HI | sig_N_HI |              N_OVI | sig_N_OVI |
| 269.00808184542086 |  -0.02068018746294303 |  0.01081415784179768 |  -4997659362483.586 |  3137038150203.493 | MAXBCGJ217 | 0.09394200146198273 | 12.97 |    -99.0 |                0.0 |       0.0 |
|  128.9675429471523 |   0.00236154107181041 | 0.009255870813604319 |  1479644933222.8228 |  2668467074337.485 | MAXBCGJ217 | 0.09601300209760666 |  12.9 |    -99.0 |                0.0 |       0.0 |
| 192.77670684319483 | -0.011142818694197577 |   0.0093397182509842 |  -2709722122206.835 | 2689212405972.7686 | MAXBCGJ217 | 0.09930543601512909 | 12.91 |    -99.0 |                0.0 |       0.0 |
| 117.12446749356553 |  0.019791901246597167 | 0.009388314345037996 |     5984365730515.3 | 2703592493158.5566 | MAXBCGJ217 | 0.09635349363088608 | 12.91 |    -99.0 |                0.0 |       0.0 |
| 235.63375124005785 |  0.007134446879122102 |  0.00953298196072183 |    2730506378281.58 | 2747584559712.9297 | MAXBCGJ217 | 0.09613444656133652 | 12.92 |    -99.0 |                0.0 |       0.0 |
| 130.90940226685376 |   0.00346276833398411 | 0.009570238294720286 |  1788687929786.5908 | 2758905553038.9604 | MAXBCGJ217 |          0.09603079 | 12.92 |    -99.0 |                0.0 |       0.0 |
| 209.87190466772296 |  0.031134737471310066 |  0.00925571585327388 |   9237141422131.818 | 2663537373417.6753 | MAXBCGJ217 |          0.09628026 | 12.97 |     0.13 |                0.0 |       0.0 |
|   234.208945864866 |    0.0103119577180748 | 0.005428781156679466 |  22615598364210.562 | 11335673283031.371 |      A1095 | 0.21295364201068878 | 13.53 |    -99.0 | 13.105823527308894 |     -99.0 |
| 244.74698104410118 |  -0.00995931033613549 | 0.005499151050423146 | -19338312278425.566 | 11486794517796.092 |      A1095 |  0.2135172039270401 | 13.54 |    -99.0 | 13.115604509787088 |     -99.0 |
|  43.54678643255497 |                 0.313 |                0.046 |   93325430079699.23 |  4398292015881.875 |      A2246 |            0.228488 |  14.2 |     99.0 |               13.8 |     -99.0 |
|  72.54317627114531 |                   0.0 |                0.191 |                 0.0 |  71265402983407.75 |   GMBCG256 |            0.455992 | 14.33 |    -99.0 |  14.62428209583567 |     -99.0 |
